I0626 22:19:31.832112  1996 server.go:1349] Starting language server process with pid 1996
I0626 22:19:31.833198  1996 server.go:502] Language server will attempt to listen on host localhost
I0626 22:19:31.840053  1996 server.go:517] Language server listening on random port at 52227 for HTTPS (gRPC)
I0626 22:19:31.840053  1996 server.go:525] Language server listening on random port at 52228 for HTTP
W0626 22:19:32.269996  1996 launchmanager.go:69] Entering local chrome mode! This is WRONG unless you are running tests or in eval mode on Linux.
I0626 22:19:32.271721  1996 manager.go:93] Creating trajectory store manager with proto store and SQLite store
E0626 22:19:32.275161  1996 log.go:398] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
W0626 22:19:32.275693  1996 log_context.go:117] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0626 22:19:32.275693  1996 log.go:398] error getting token source: You are not logged into Antigravity.
W0626 22:19:32.276254  1996 log_context.go:117] Cache(availableModels): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0626 22:19:32.276254  1996 log.go:398] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0626 22:19:32.276819  1996 log.go:398] Failed to poll FetchAvailableModels: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0626 22:19:32.287409  1996 server.go:2429] Auth succeeded, refreshing features and managers
E0626 22:19:32.287409  1996 log.go:398] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
W0626 22:19:32.287963  1996 log_context.go:117] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0626 22:19:32.287963  1996 log.go:398] error getting token source: You are not logged into Antigravity.
W0626 22:19:32.288481  1996 log_context.go:117] Cache(availableModels): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0626 22:19:32.288481  1996 log.go:398] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0626 22:19:32.289041  1996 log.go:398] Failed to poll FetchAvailableModels: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0626 22:19:32.289594  1996 server.go:2435] State refresh took 2ms
I0626 22:19:32.289594  1996 server.go:2548] [RemoteControl] Resolved proxyServerURL: ""
I0626 22:19:32.289594  1996 server.go:2067] initialized server successfully in 457.4823ms
W0626 22:19:32.291779  1996 log_context.go:117] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0626 22:19:32.291779  1996 log.go:398] error getting token source: You are not logged into Antigravity.
W0626 22:19:32.292824  1996 log_context.go:117] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0626 22:19:32.292877  1996 log.go:398] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0626 22:19:32.293910  1996 server.go:644] Failed to get OAuth token: error getting token source from auth provider: You are not logged into Antigravity.
W0626 22:19:32.293910  1996 client.go:82] failed to set auth token
I0626 22:19:32.296548  1996 auto_updater.go:253] Spawned background update process with PID 8472
I0626 22:19:32.296959  1996 common.go:109] Launching CLI mode
E0626 22:19:32.296959  1996 common.go:128] Failed to resolve GeminiDir ".gemini": .gemini must be an absolute path: path is not absolute, falling back to default
I0626 22:19:32.296959  1996 common.go:159] CLI app data directory: C:\Users\Ahmed\.gemini\antigravity-cli
I0626 22:19:32.296959  1996 server.go:217] Creating CLI server backend: product=antigravity workspaceDirs=[C:\Users\Ahmed\Desktop\Track_Management] appDataDir=C:\Users\Ahmed\.gemini\antigravity-cli cascadeManager=true codeAssist=true
I0626 22:19:32.297633  1996 server.go:1405] Backend project ID updated dynamically to: default-cli-project
I0626 22:19:32.297633  1996 manager.go:303] Initializing CLI store manager for workspace C:\Users\Ahmed\Desktop\Track_Management
I0626 22:19:32.298700  1996 cli_setting_manager.go:68] config.json not found or unreadable, using CLI settings only: open C:/Users/Ahmed/.gemini/config/config.json: The system cannot find the file specified.
I0626 22:19:32.298739  1996 cli_setting_manager.go:667] Skipping telemetry propagation because user is not logged in
I0626 22:19:32.298739  1996 cli_setting_manager.go:80] CLI settings initialized: permissions=<nil>, toolPermission=request-review
I0626 22:19:32.298739  1996 manager.go:458] CLI store manager initialized successfully
I0626 22:19:32.298739  1996 quota_manager.go:63] quotaRefreshLoop: skipped (not logged in)
I0626 22:19:32.299270  1996 common.go:401] CLI store manager created successfully
I0626 22:19:32.299270  1996 cli_setting_manager.go:199] ApplyProjectPermissionGrants: no grants for project "Default Project", cleared project permissions
I0626 22:19:32.304810  1996 common.go:536] Starting CLI program
CLI ready for user input (startup took 7.851ms)
ERROR: logging before google.Init: I0626 22:19:32.313093      99 terminal_info_manager.go:166] Terminal detection: TERM="" altScreen=false ssh=false
I0626 22:19:32.315180  1996 gemini_extensions.go:28] Detecting Gemini extensions in C:\Users\Ahmed\.gemini\extensions
I0626 22:19:32.315180  1996 gemini_extensions.go:49] No extensions found
I0626 22:19:32.316781  1996 manager.go:1309] Reloading system slash commands and skills
I0626 22:19:32.316781  1996 manager.go:1285] Reloading system slash commands
W0626 22:19:32.316781  1996 log_context.go:117] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0626 22:19:32.316781  1996 log.go:398] error getting token source: You are not logged into Antigravity.
I0626 22:19:32.320000  1996 keyring.go:59] keyringAuth: loaded token, expiry=2026-06-26 22:42:51.2117086 +0300 EEST expired=false
W0626 22:19:32.321338  1996 log_context.go:117] Cache(availableModels): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
